### ORIGENICS
# ZoneId: 1208

hideall "--Reset--"
hideall "--sync--"

# .*is no longer sealed
0.0 "--Reset--" SystemLogMessage { id: "7DE" } window 0,100000 jump 0

#~~~~~~~~~~~~#
# Herpekaris #
#~~~~~~~~~~~~#

# -ii 8E71 8E72 8E73 8E7A
# -p 8EA7:1011.1

# The Resource Transport Elevator will be sealed off
1000.0 "--sync--" SystemLogMessage { id: "7DC", param1: "139C" } window 1000,1
1006.1 "--sync--" StartsUsing { id: "8EA7", source: "Herpekaris" }
1011.1 "Strident Shriek" Ability { id: "8EA7", source: "Herpekaris" }
1017.3 "--north--" Ability { id: "8EA8", source: "Herpekaris" }
1021.7 "Vasoconstrictor" Ability { id: "8E6B", source: "Herpekaris" }
1022.8 "Poison Heart (puddle drop)" Ability { id: "8E6C", source: "Herpekaris" }
# combine Venomspill + Pod Burst, which happen at the same time
1029.8 "Venomspill + Pod Burst 1" Ability { id: "9676", source: "Herpekaris" }
1034.9 "Venomspill + Pod Burst 2" Ability { id: "9677", source: "Herpekaris" }
1039.9 "Venomspill + Pod Burst 3" Ability { id: "9677", source: "Herpekaris" }
1045.0 "Venomspill + Pod Burst 4" Ability { id: "9677", source: "Herpekaris" }

# begin loop
1049.2 "--center--" Ability { id: "8EA8", source: "Herpekaris" }
1059.5 "Writhing Riot" Ability { id: "8E6F", source: "Herpekaris" }
1059.8 "Right Sweep/Left Sweep/Rear Sweep 1" #Ability { id: ["8E75", "8E76", "8E77"], source: "Herpekaris" } window 1.5,1.5
1061.8 "Right Sweep/Left Sweep/Rear Sweep 2" #Ability { id: ["8E75", "8E76", "8E77"], source: "Herpekaris" } window 1.5,1.5
1063.8 "Right Sweep/Left Sweep/Rear Sweep 3" #Ability { id: ["8E75", "8E76", "8E77"], source: "Herpekaris" } window 1.5,1.5
1071.9 "Strident Shriek" Ability { id: "8EA7", source: "Herpekaris" }
1079.1 "--north--" Ability { id: "8EA8", source: "Herpekaris" }
1083.5 "Vasoconstrictor" Ability { id: "8E6B", source: "Herpekaris" }
1084.6 "Poison Heart (puddle drop)" Ability { id: "8E6C", source: "Herpekaris" }
1091.6 "Venomspill + Pod Burst 1" Ability { id: "9676", source: "Herpekaris" }
1096.6 "Venomspill + Pod Burst 2" Ability { id: "9677", source: "Herpekaris" }
1101.7 "Venomspill + Pod Burst 3" Ability { id: "9677", source: "Herpekaris" }
1106.7 "Venomspill + Pod Burst 4" Ability { id: "9677", source: "Herpekaris" }
1109.4 "Poison Heart (spread)" Ability { id: "9421", source: "Herpekaris" }
1119.6 "Collective Agony" Ability { id: "8E79", source: "Herpekaris" }
1128.7 "Strident Shriek" Ability { id: "8EA7", source: "Herpekaris" }
1137.9 "Convulsive Crush" Ability { id: "8EA6", source: "Herpekaris" }
1149.0 "--center--" Ability { id: "8EA8", source: "Herpekaris" } forcejump 1049.2

# IGNORED ABILITIES
# 8E71 --sync-- (telegraph of Right Sweep)
# 8E72 --sync-- (telegraph of Left Sweep)
# 8E73 --sync-- (telegraph of Rear Sweep)
# 8E7A --sync-- (vfx)

# ALL ENCOUNTER ABILITIES
# 368 attack
# 8E64 Venomspill
# 8E65 Venomspill
